Defense,Offense,Text
Appalachian State,Georgia Southern,"Younghoe Koo on-side kick recovered by APPALACHIAN ST at the GeoSo 45 APPALACHIAN ST Penalty, Illegal Kicking ( Yards) declined"
Troy,Appalachian State,"Taylor Lamb pass incomplete APPALACHIAN ST Penalty, Offensive holding ( Yards) declined"
Idaho,Appalachian State,"Josh Boyd run for a loss of 5 yards to the Idaho 13 APPALACHIAN ST Penalty, illegal shift ( Yards) declined"
South Alabama,Appalachian State,"Zach Matics kickoff for 65 yds , Terrance Timmons return for 15 yds to the 50 yard line SOUTH ALABAMA Penalty, illegal block (10 Yards) declined"
South Alabama,Appalachian State,"SOUTH ALABAMA Penalty, Defensive offside ( Yards) declined"
Appalachian State,Old Dominion,"David Washington pass incomplete OLDDOMINION Penalty, Offensive holding ( Yards) declined"
Idaho,Appalachian State,"Taylor Lamb pass complete to Ike Lewis for 6 yds to the Idaho 25 for a 1ST down IDAHO Penalty, offside defense ( Yards) declined for a 1ST down"
Idaho,Appalachian State,"Taylor Lamb pass complete to Mock Adams for 6 yds to the Idaho 7 APPALACHIAN ST Penalty, ineligible downfield on pass ( Yards) declined"
Appalachian State,Idaho,"Austin Rehkow kickoff for 15 yds IDAHO Penalty, illegal procedure ( Yards) declined"
Appalachian State,Texas State,"Tyler Jones pass complete to Tyler Watts for 11 yds to the AppSt 21 for a 1ST down APPALACHIAN ST Penalty, illegal participation ( Yards) declined for a 1ST down"
New Mexico State,Appalachian State,"Taylor Lamb pass incomplete to Shaedon Meadors APPALACHIAN ST Penalty, illegal procedure ( Yards) declined"
New Mexico State,Appalachian State,"Taylor Lamb pass complete to Shaedon Meadors for 4 yds to the AppSt 44 APPALACHIAN ST Penalty, Offensive holding ( Yards) declined"
Appalachian State,Toledo,"Logan Woodside pass complete to Desmond Phillips for no gain to the Toled 25 TOLEDO Penalty, Offensive Holding (Sami Kassem) declined"
Texas State,Appalachian State,"Jalin Moore run for a loss of 2 yards to the AppSt 39 APPALACHIAN ST Penalty, illegal motion ( Yards) declined"
Appalachian State,Idaho,"Matt Linehan sacked by Myquon Stout for a loss of 3 yards to the AppSt 11 IDAHO Penalty, Offensive holding ( Yards) declined"
Coastal Carolina,Appalachian State,"Taylor Lamb pass incomplete to Malik Williams APPALACHIAN ST Penalty, Offensive holding ( Yards) declined"
Coastal Carolina,Appalachian State,"Taylor Lamb pass complete to Jalen Virgil for 5 yds to the AppSt 39 APPALACHIAN ST Penalty, Offensive holding ( Yards) declined"
UMass,Appalachian State,"Taylor Lamb run for 15 yds for a TD, (Chandler Staton KICK) MASSACHUSETTS Penalty, O ( Yards) declined"
Appalachian State,UMass,"Ross Comis sacked by Antonious Sims for a loss of 7 yards to the UMass 21 MASSACHUSETTS Penalty, Offensive holding ( Yards) declined"
Appalachian State,Louisiana Monroe,"Caleb Evans run for 7 yds for a TD, (Craig Ford KICK) APPALACHIAN ST Penalty, Defensive offside ( Yards) declined"
Appalachian State,Georgia State,"GEORGIA ST Penalty, IN ( Yards) declined"
