Defense,Offense,Text
Florida,Missouri,"Kelly Bryant run for no gain to the Misso 33 MISSOURI Penalty, unsportsmanlike conduct off-setting ( Yards) to the Misso 33"
Texas A&M,Florida,"TEXAS A&M Penalty, unsportsmanlike conduct off-setting ( Yards) to the TexAM 37"
Utah,Fresno State,"Garrett Swanson kickoff for 65 yds , Devontae Booker return for 22 yds to the UTAH 43 UTAH Penalty, personal foul off-setting ( Yards) to the Utah 22"
Abilene Christian,Fresno State,"Chason Virgil run for 3 yds to the FrsSt 48 FRESNO ST Penalty, personal foul off-setting ( Yards) to the FrsSt 48"
Utah,Fresno State,"Chason Virgil pass complete to Da'Mari Scott for 7 yds to the Utah 8 UTAH Penalty, unsportsmanlike conduct off-setting ( Yards) to the Utah 8"
San José State,Fresno State,"SAN JOSÉ ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the FrsSt 3"
Fresno State,Utah State,"FRESNO ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the FrsSt 49"
San José State,Fresno State,"Marcus McMaryion pass complete to KeeSean Johnson for 5 yds to the SJSt 18 SAN JOSÉ ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the SJSt 18"
Georgia Southern,Louisiana Monroe,"Kaylon Watson run for 2 yds to the LaMon 45 UL MONROE Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 45"
Louisiana Monroe,Georgia Southern,"Wesley Fields run for 5 yds to the LaMon 1 GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the LaMon 1"
Georgia Southern,Texas State,"Lumi Kaba punt for 50 yds, punt out-of-bounds at the GeoSo 28 , Derek Keaton returns for 12 yds to the GeoSo 46 GA SOUTHERN Penalty, personal foul off-setting ( Yards) to the GeoSo 28"
Georgia State,Georgia Southern,"Wesley Fields run for a loss of 1 yard to the GeoSt 29 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 29"
South Alabama,Georgia Southern,"GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSo 6"
Georgia Southern,Troy,"TROY Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 31"
Georgia Southern,Georgia State,"Tra Barnett run for 5 yds to the GeoSt 30 GA SOUTHERN Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 30"
Georgia State,South Alabama,"Aleem Sunanon kickoff for 62 yds , Avery Sweeting return for 23 yds to the GeoSt 43 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting (NA) to the GeoSt 41"
Georgia State,Troy,"GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the Troy 47"
Georgia State,Texas State,"Lumi Kaba punt for 58 yds, punt out-of-bounds at the GEORGIAST 18 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 18"
Georgia State,Texas State,"GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 40"
Georgia State,Texas State,"Stedman Mayberry run for no gain to the GeoSt 3 GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 3"
Georgia State,Troy,"Brandon Silvers pass incomplete to Jordan Chunn GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 48"
Western Michigan,Georgia State,"GEORGIA ST Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 25"
Georgia State,South Alabama,"Desmond Trotter run for 9 yds to the GeoSt 30 for a 1ST down SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 30 for a 1ST down"
Georgia State,South Alabama,"Desmond Trotter pass intercepted Tyler Gore return for no gain to the GeoSt 22 SOUTH ALABAMA Penalty, unsportsmanlike conduct off-setting ( Yards) to the GeoSt 49"
NC State,Georgia Tech,"Jeff Sims run for a loss of 1 yard to the GTech 23 Jeff Sims fumbled, forced by Val Martin, recovered by GTech Jeff Sims  NC STATE Penalty, personal foul off-setting ( Yards) to the GTech 23"
Georgia Tech,NC State,"Zonovan Knight run for 5 yds for a TD GEORGIA TECH Penalty, personal foul off-setting ( Yards) to the GTech 3 (Christopher Dunn KICK)"
Georgia,Kentucky,"Stanley Williams run for no gain to the Kent 30 GEORGIA Penalty, unsportsmanlike conduct off-setting ( Yards) to the Kent 30"
Hawai'i,Wisconsin,"Joel Stave pass incomplete HAWAII Penalty, personal foul off-setting ( Yards) to the Wisc 19"
Western Carolina,Hawai'i,"HAWAII Penalty, personal foul off-setting ( Yards) to the Hawa 43"
Hawai'i,Utah State,"HAWAII Penalty, unsportsmanlike conduct off-setting ( Yards) to the 50 yard line"
Oregon State,Hawai'i,"HAWAII Penalty, unsportsmanlike conduct off-setting ( Yards) to the OrgSt 17"
Tulsa,Houston,"Kenneth Farrow run for a loss of 1 yard to the Houst 48 TULSA Penalty, personal foul off-setting ( Yards) to the Houst 48"
Idaho,Louisiana Monroe,"Centarius Donald run for 2 yds to the Idaho 32 IDAHO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Idaho 32"
Idaho,South Alabama,"Cody Clements run for 8 yds for a TD IDAHO Penalty, unsportsmanlike conduct off-setting ( Yards) to the Idaho 0, (Aleem Sunanon KICK)"
Western Illinois,Illinois,"Wes Lunt pass incomplete to Ke'Shawn Vaughn, broken up by Eddy Holtschlag WESTRN ILLINOIS Penalty, unsportsmanlike conduct off-setting ( Yards) to the WIll 48"
Illinois,Northwestern,"ILLINOIS Penalty, unsportsmanlike conduct off-setting ( Yards) to the Illin 3"
Wisconsin,Illinois,"Blake Hayes punt for 35 yds, downed at the WISCONSIN 44 ILLINOIS Penalty, personal foul off-setting ( Yards) to the Wisc 44"
