Savannah State;#F24D17;#002294;(SAVANNAH ST|SSU|SavSt);SAVANNAH ST;SSU;SavSt;;;;;
SMU;#0033A0;#C8102E;(SMU);SMU;;;;;;;
South Alabama;#00205B;#BF0D3E;(SOUTH ALABAMA|USA|SOUTHALA|SAlab);SOUTH ALABAMA;USA;SOUTHALA;SAlab;;;;
South Carolina;#73000A;#000000;(SOUTH CAROLINA|SOCAROLINA|SCaro|SC|USC);SOUTH CAROLINA;SOCAROLINA;SCaro;SC;USC;;;
South Carolina State;#841A2B;#1E4692;(CAROLINA ST|SOCARST|SCSt|SCST|SCSU|SCS);CAROLINA ST;SOCARST;SCSt;SCST;SCSU;SCS;;
South Dakota;#AD0000;#B4B4B4;(SOUTH DAKOTA|USD|SDU|SDako);SOUTH DAKOTA;USD;SDU;SDako;;;;
South Dakota State;#0033A0;#FFD100;(SO DAKOTA ST|SDSU|SODAKOTAST);SO DAKOTA ST;SDSU;SODAKOTAST;;;;;
South Florida;#006747;#CFC493;(SOUFLA|SOUTH FLORIDA|South Florida|USF|SFla);SOUFLA;SOUTH FLORIDA;South Florida;USF;SFla;;;
Southeast Missouri State;#C8102E;#000000;(SEMO|SEMo|SEM|SE MISSOURI);SEMO;SEMo;SEM;SE MISSOURI;;;;
Southeastern Louisiana;#006341;#EAAA00;(SE LOUISIANA|SLU|SELa);SE LOUISIANA;SLU;SELa;;;;;
Southern;#69B3E7;#FFC72C;(SOUTHERN|SOU|SUBR|SU);SOUTHERN;SOU;SUBR;SU;;;;
Southern Illinois;#720000;#000000;(SIU|SOUTHN ILLINOIS);SIU;SOUTHN ILLINOIS;;;;;;
Southern Mississippi;#000000;#FFAB00;(SOUTHERN MISS|SOUMISS|USM|SoMis);SOUTHERN MISS;SOUMISS;USM;SoMis;;;;
Southern Utah;#C41425;#000000;(SOUTHERN UTAH|SUU|SoUth);SOUTHERN UTAH;SUU;SoUth;;;;;
St Francis (PA);#BD1F25 ;#8E908F ;(SFrPA);SFrPA;;;;;;;
Stanford;#8C1515;#4D4F53;(STANFORD|Stanf|STAN|STA|SU);STANFORD;Stanf;STAN;STA;SU;;;
Stephen F. Austin;#660099;#75787B;(SFAFB|SFA);SFAFB;SFA;;;;;;
Stony Brook;#990000;#16243E;(STONY BROOK|SBU|StBrk);STONY BROOK;SBU;StBrk;;;;;
Syracuse;#F76900;#000E54;(SYRACUSE|SU|SYR);SYRACUSE;SU;SYR;;;;;
Tarleton State;#5A2B81 ;#FFFFFF ;(TARLETON ST|trlst);TARLETON ST;trlst;;;;;;
TCU;#4D1979;#A3A9AC;(TCU);TCU;;;;;;;
Temple;#9D2235;#FFCD00;(TEMPLE|Temp|TEM|TU);TEMPLE;Temp;TEM;TU;;;;
Tennessee;#FF8200;#58595B;(TENNESSEE|Tenn|TEN|UT);TENNESSEE;Tenn;TEN;UT;;;;
Tennessee State;#00539F;#FFFFFF;(TENNESSEE ST|TSU);TENNESSEE ST;TSU;;;;;;
Tennessee Tech;#4F2984;#FFDD00;(TENNESSEE TECH|TnTch|TTU);TENNESSEE TECH;TnTch;TTU;;;;;
Texas;#BF5700;#333F48;(TEXAS|Texas|TEX|UT);TEXAS;Texas;TEX;UT;;;;
Texas A&M;#500000;#FFFFFF;(TEXAS A&M|TEXASAM|TexAM|TAMU|TAM);TEXAS A&M;TEXASAM;TexAM;TAMU;TAM;;;
Texas A&M-Commerce;#1D2953;#E8A311;(Texas A&M-Commerce|TAMC|TXCC);Texas A&M-Commerce;TAMC;TXCC;;;;;
Texas Southern;#7C183E;#9DA6AB;(TEXAS SOUTHERN|TSU|TXSOFB|TexSo);TEXAS SOUTHERN;TSU;TXSOFB;TexSo;;;;
Texas State;#501214;#8D734A;(TEXAS STATE|TEXSTATE|TexSt|TSU|TXST|TXS);TEXAS STATE;TEXSTATE;TexSt;TSU;TXST;TXS;;
Texas Tech;#CC0000;#000000;(TEXAS TECH|TTU|TEXTC|TEXASTECH|TexTc);TEXAS TECH;TTU;TEXTC;TEXASTECH;TexTc;;;
The Citadel;#3975B7;#1F3A60;(CIT|THE CITADEL|THECITADEL);CIT;THE CITADEL;THECITADEL;;;;;
Toledo;#15397F;#FFDA00;(TOLEDO|Toled|TOL|UTo|UT);TOLEDO;Toled;TOL;UTo;UT;;;
Towson;#FFBB00;#3C3C3C;(TOWSON|TOW);TOWSON;TOW;;;;;;
Troy;#8A2432;#B3B5B8;(TROY|TRO|TRY);TROY;TRO;TRY;;;;;
Tulane;#006747;#418FDE;(TLN|TULANE|Tulan);TLN;TULANE;Tulan;;;;;
Tulsa;#002D72;#C8102E;(TULSA|Tulsa|TLS|Tul|TUL);TULSA;Tulsa;TLS;Tul;TUL;;;
UAB;#006341;#CC8A00;(UAB);UAB;;;;;;;
UC Davis;#002855;#B3A369;(UC DAVIS|UCDav|UCD);UC DAVIS;UCDav;UCD;;;;;
UCF;#BA9B37;#000000;(UCF);UCF;;;;;;;
UCLA;#2D68C4;#F2A900;(UCLA|UCL);UCLA;UCL;;;;;;
UMass;#971B2F;#B1B3B3;(MASSACHUSETTS|UMASS|UMass|UMA|MAS);MASSACHUSETTS;UMASS;UMass;UMA;MAS;;;
UNLV;#CF0A2C;#CAC8C8;(LV|NLV|UNLV);LV;NLV;UNLV;;;;;
USC;#990000;#FFC72C;(USC);USC;;;;;;;
UT Martin;#F79728;#002A5B;(TENN MARTIN|UTM|TENNMARTIN);TENN MARTIN;UTM;TENNMARTIN;;;;;
